underlying_price,underlying_index,timestamp,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,instrument_name,index_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv,24h_high,24h_low,24h_vol,theta,delta,rho,gamma,vega
8678.21,SYN.BTC-31JAN20,1579545019894,open,0.01,100.1,0.0005,0.022,0.00720258,60.97,0.007,0.0,BTC-31JAN20-9750-C,8651.95,16818699311,"[[0.0065, 0.1], [0.006, 76.0], [0.0055, 21.0], [0.001, 5.0]]",59.09,0.0065,0.1,0.008,56.1,"[[0.008, 56.1], [0.0085, 21.0], [0.009, 16.9], [0.024, 1.0], [0.0425, 4.8]]",63.01,0.011,0.0065,12.6,-9.5787,0.14209,0.33874,0.00025,3.31901
8681.77,SYN.BTC-31JAN20,1579545096427,open,0.01,100.1,0.0005,0.0225,0.00726265,60.98,0.007,0.0,BTC-31JAN20-9750-C,8655.69,16818707960,"[[0.0065, 0.1], [0.006, 76.0], [0.0055, 21.0], [0.001, 5.0]]",58.95,0.0065,0.1,0.008,56.0,"[[0.008, 56.0], [0.0085, 21.1], [0.009, 16.9], [0.024, 1.0], [0.0425, 4.8]]",62.87,0.011,0.0065,12.6,-9.62869,0.14303,0.34106,0.00025,3.33504
8678.6,SYN.BTC-31JAN20,1579545399273,open,0.01,100.1,0.0005,0.022,0.00719771,60.97,0.007,0.0,BTC-31JAN20-9750-C,8653.73,16818737401,"[[0.0065, 26.1], [0.006, 50.0], [0.0055, 21.0], [0.001, 5.0]]",59.09,0.0065,26.1,0.0075,30.0,"[[0.0075, 30.0], [0.008, 26.1], [0.0085, 21.0], [0.009, 16.9], [0.024, 1.0], [0.0425, 4.8]]",61.74,0.011,0.0065,12.6,-9.58398,0.14214,0.33872,0.00025,3.31918
8682.7,SYN.BTC-31JAN20,1579545477089,open,0.01,100.1,0.0005,0.0225,0.00726025,60.95,0.007,0.0,BTC-31JAN20-9750-C,8657.41,16818742983,"[[0.0065, 0.1], [0.006, 76.0], [0.0055, 21.0], [0.001, 5.0]]",58.93,0.0065,0.1,0.008,56.0,"[[0.008, 56.0], [0.0085, 21.1], [0.009, 16.9], [0.024, 1.0], [0.0425, 4.8]]",62.84,0.011,0.0065,12.6,-9.62848,0.14307,0.34107,0.00025,3.3354
8681.65,SYN.BTC-31JAN20,1579545579815,open,0.01,100.1,0.0005,0.022,0.00721669,60.88,0.007,0.0,BTC-31JAN20-9750-C,8655.99,16818749161,"[[0.0065, 0.1], [0.006, 76.0], [0.0055, 21.0], [0.001, 5.0]]",58.97,0.0065,0.1,0.008,56.0,"[[0.008, 56.0], [0.0085, 21.1], [0.009, 16.9], [0.024, 1.0], [0.0425, 4.8]]",62.89,0.011,0.0065,12.6,-9.59144,0.1425,0.33966,0.00025,3.32578
8683.23,SYN.BTC-31JAN20,1579545666418,open,0.01,100.1,0.0005,0.0225,0.00726522,60.95,0.007,0.0,BTC-31JAN20-9750-C,8657.86,16818759130,"[[0.0065, 26.1], [0.006, 50.0], [0.0055, 21.0], [0.001, 5.0]]",58.91,0.0065,26.1,0.008,56.0,"[[0.008, 56.0], [0.0085, 21.1], [0.009, 16.9], [0.024, 1.0], [0.0425, 4.8]]",62.82,0.011,0.0065,12.6,-9.63394,0.14317,0.34125,0.00025,3.33678
8683.7,SYN.BTC-31JAN20,1579545743992,open,0.01,100.1,0.0005,0.0225,0.00727095,60.95,0.007,0.0,BTC-31JAN20-9750-C,8658.25,16818759130,"[[0.0065, 26.1], [0.006, 50.0], [0.0055, 21.0], [0.001, 5.0]]",58.9,0.0065,26.1,0.008,56.0,"[[0.008, 56.0], [0.0085, 21.1], [0.009, 16.9], [0.024, 1.0], [0.0425, 4.8]]",62.81,0.011,0.0065,12.6,-9.63896,0.14327,0.34148,0.00025,3.33842
8682.22,SYN.BTC-31JAN20,1579545817750,open,0.01,100.1,0.0005,0.0225,0.00724651,60.95,0.007,0.0,BTC-31JAN20-9750-C,8657.26,16818767605,"[[0.0065, 0.1], [0.006, 76.0], [0.0055, 21.0], [0.001, 5.0]]",58.96,0.0065,0.1,0.008,56.0,"[[0.008, 56.0], [0.0085, 21.1], [0.009, 16.9], [0.024, 1.0], [0.0425, 4.8]]",62.87,0.011,0.0065,12.6,-9.62048,0.14288,0.34047,0.00025,3.33155
8681.47,SYN.BTC-31JAN20,1579545894039,open,0.01,100.1,0.0005,0.0225,0.00723574,60.95,0.007,0.0,BTC-31JAN20-9750-C,8656.25,16818779540,"[[0.0065, 0.1], [0.006, 76.0], [0.0055, 21.0], [0.001, 5.0]]",58.99,0.0065,0.1,0.008,56.0,"[[0.008, 56.0], [0.0085, 21.1], [0.009, 16.9], [0.024, 1.0], [0.0425, 4.8]]",62.91,0.011,0.0065,12.6,-9.61261,0.14271,0.34,0.00025,3.32836
8662.51,SYN.BTC-31JAN20,1579572030646,open,0.01,100.2,0.0005,0.0205,0.00628359,60.02,0.0065,0.0,BTC-31JAN20-9750-C,8637.89,16822032517,"[[0.0055, 85.0], [0.005, 35.0], [0.001, 5.0]]",57.75,0.0055,85.0,0.007,56.0,"[[0.007, 56.0], [0.0075, 15.1], [0.008, 19.3], [0.024, 1.0], [0.042, 4.8]]",61.99,0.0075,0.0065,15.5,-8.999,0.13018,0.30138,0.00024,3.07374
8660.86,SYN.BTC-31JAN20,1579572101137,open,0.01,100.2,0.0005,0.0205,0.00625974,60.02,0.0065,0.0,BTC-31JAN20-9750-C,8635.97,16822032517,"[[0.0055, 85.0], [0.005, 35.0], [0.001, 5.0]]",57.82,0.0055,85.0,0.007,56.0,"[[0.007, 56.0], [0.0075, 15.1], [0.008, 19.3], [0.024, 1.0], [0.042, 4.8]]",62.06,0.0075,0.0065,15.5,-8.97903,0.12977,0.30036,0.00024,3.06635
8661.17,SYN.BTC-31JAN20,1579572169750,open,0.01,100.2,0.0005,0.0205,0.00626103,60.01,0.0065,0.0,BTC-31JAN20-9750-C,8636.31,16822032517,"[[0.0055, 85.0], [0.005, 35.0], [0.001, 5.0]]",57.81,0.0055,85.0,0.007,56.0,"[[0.007, 56.0], [0.0075, 15.1], [0.008, 19.3], [0.024, 1.0], [0.042, 4.8]]",62.05,0.0075,0.0065,15.5,-8.98041,0.12981,0.30044,0.00024,3.06696
8660.91,SYN.BTC-31JAN20,1579572238750,open,0.01,100.2,0.0005,0.0205,0.00625865,60.02,0.0065,0.0,BTC-31JAN20-9750-C,8636.0,16822032517,"[[0.0055, 85.0], [0.005, 35.0], [0.001, 5.0]]",57.82,0.0055,85.0,0.007,56.0,"[[0.007, 56.0], [0.0075, 15.1], [0.008, 19.3], [0.024, 1.0], [0.042, 4.8]]",62.07,0.0075,0.0065,15.5,-8.97907,0.12976,0.3003,0.00024,3.06599
8661.78,SYN.BTC-31JAN20,1579572313750,open,0.01,100.2,0.0005,0.0205,0.00626958,60.02,0.0065,0.0,BTC-31JAN20-9750-C,8637.02,16822032517,"[[0.0055, 85.0], [0.005, 35.0], [0.001, 5.0]]",57.79,0.0055,85.0,0.007,56.0,"[[0.007, 56.0], [0.0075, 15.1], [0.008, 19.3], [0.024, 1.0], [0.042, 4.8]]",62.03,0.0075,0.0065,15.5,-8.9892,0.12995,0.30075,0.00024,3.06935
8661.24,SYN.BTC-31JAN20,1579572383120,open,0.01,100.2,0.0005,0.0205,0.006259,60.01,0.0065,0.0,BTC-31JAN20-9750-C,8636.69,16822032517,"[[0.0055, 85.0], [0.005, 35.0], [0.001, 5.0]]",57.81,0.0055,85.0,0.007,56.0,"[[0.007, 56.0], [0.0075, 15.1], [0.008, 19.3], [0.024, 1.0], [0.042, 4.8]]",62.06,0.0075,0.0065,15.5,-8.98006,0.12979,0.30033,0.00024,3.06634
8662.99,SYN.BTC-31JAN20,1579572453610,open,0.01,100.2,0.0005,0.0205,0.00628578,60.02,0.0065,0.0,BTC-31JAN20-9750-C,8638.22,16822062177,"[[0.0055, 85.2], [0.005, 35.0], [0.001, 5.0]]",57.75,0.0055,85.2,0.007,56.0,"[[0.007, 56.0], [0.0075, 15.1], [0.008, 19.3], [0.024, 1.0], [0.042, 4.8]]",61.99,0.0075,0.0065,15.5,-9.00526,0.13024,0.30138,0.00024,3.07405
8666.4,SYN.BTC-31JAN20,1579572525106,open,0.01,100.2,0.0005,0.0205,0.00632919,60.01,0.0065,0.0,BTC-31JAN20-9750-C,8641.71,16822062177,"[[0.0055, 85.2], [0.005, 35.0], [0.001, 5.0]]",57.61,0.0055,85.2,0.007,56.0,"[[0.007, 56.0], [0.0075, 15.1], [0.008, 19.3], [0.024, 1.0], [0.042, 4.8]]",61.85,0.0075,0.0065,15.5,-9.04357,0.131,0.30322,0.00024,3.08761
8667.57,SYN.BTC-31JAN20,1579572598750,open,0.01,100.2,0.0005,0.0205,0.00634519,60.01,0.0065,0.0,BTC-31JAN20-9750-C,8641.99,16822074212,"[[0.0055, 85.4], [0.005, 35.0], [0.001, 5.0]]",57.57,0.0055,85.4,0.007,56.0,"[[0.007, 56.0], [0.0075, 15.1], [0.008, 19.3], [0.024, 1.0], [0.042, 4.8]]",61.81,0.0075,0.0065,15.5,-9.05818,0.13127,0.30388,0.00024,3.09241
8666.25,SYN.BTC-31JAN20,1579572667094,open,0.01,100.2,0.0005,0.0205,0.00631954,59.99,0.0065,0.0,BTC-31JAN20-9750-C,8642.19,16822074212,"[[0.0055, 85.4], [0.005, 35.0], [0.001, 5.0]]",57.62,0.0055,85.4,0.007,56.0,"[[0.007, 56.0], [0.0075, 15.1], [0.008, 19.3], [0.024, 1.0], [0.042, 4.8]]",61.86,0.0075,0.0065,15.5,-9.03538,0.13087,0.30289,0.00024,3.08527
