underlying_price,underlying_index,timestamp,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,instrument_name,index_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv,24h_high,24h_low,24h_vol,theta,delta,rho,gamma,vega
8983.09,BTC-26JUN20,1579545024932,open,1.48,0.0,1.4105,1.548,1.47183998,87.85,,0.0,BTC-26JUN20-22000-P,8651.75,16812820406,"[[0.11, 1.0], [0.0005, 1.0]]",0.0,0.11,1.0,2.22,0.1,"[[2.22, 0.1], [3.0, 0.1]]",437.12,,,,-2.95569,-0.89675,-91.84913,3e-05,10.60237
8986.28,BTC-26JUN20,1579545102469,open,1.48,0.0,1.4095,1.5475,1.47098059,87.83,,0.0,BTC-26JUN20-22000-P,8655.28,16812820406,"[[0.11, 1.0], [0.0005, 1.0]]",0.0,0.11,1.0,2.22,0.1,"[[2.22, 0.1], [3.0, 0.1]]",437.72,,,,-2.9573,-0.8967,-91.84562,3e-05,10.6099
8986.02,BTC-26JUN20,1579545403570,open,1.48,0.0,1.4095,1.5475,1.47101874,87.81,,0.0,BTC-26JUN20-22000-P,8656.13,16812820406,"[[0.11, 1.0], [0.0005, 1.0]]",0.0,0.11,1.0,2.22,0.1,"[[2.22, 0.1], [3.0, 0.1]]",437.67,,,,-2.95422,-0.8968,-91.84652,3e-05,10.60159
8986.63,BTC-26JUN20,1579545484141,open,1.48,0.0,1.4095,1.547,1.47090801,87.85,,0.0,BTC-26JUN20-22000-P,8657.32,16812820406,"[[0.11, 1.0], [0.0005, 1.0]]",0.0,0.11,1.0,2.22,0.1,"[[2.22, 0.1], [3.0, 0.1]]",437.79,,,,-2.95961,-0.89662,-91.84105,3e-05,10.61576
8989.22,BTC-26JUN20,1579545587872,open,1.48,0.0,1.409,1.5465,1.47029796,87.91,,0.0,BTC-26JUN20-22000-P,8657.15,16812820406,"[[0.11, 1.0], [0.0005, 1.0]]",0.0,0.11,1.0,2.22,0.1,"[[2.22, 0.1], [3.0, 0.1]]",438.28,,,,-2.96918,-0.8963,-91.83065,3e-05,10.64255
8989.43,BTC-26JUN20,1579545672461,open,1.48,0.0,1.409,1.5465,1.47013907,87.83,,0.0,BTC-26JUN20-22000-P,8657.95,16812820406,"[[0.11, 1.0], [0.0005, 1.0]]",0.0,0.11,1.0,2.22,0.1,"[[2.22, 0.1], [3.0, 0.1]]",438.32,,,,-2.9596,-0.89662,-91.83874,3e-05,10.61874
8989.52,BTC-26JUN20,1579545749027,open,1.48,0.0,1.4085,1.5465,1.4700806,87.8,,0.0,BTC-26JUN20-22000-P,8657.83,16812820406,"[[0.11, 1.0], [0.0005, 1.0]]",0.0,0.11,1.0,2.22,0.1,"[[2.22, 0.1], [3.0, 0.1]]",438.34,,,,-2.95641,-0.89673,-91.84117,3e-05,10.61078
8987.1,BTC-26JUN20,1579545818612,open,1.48,0.0,1.4095,1.547,1.47073668,87.81,,0.0,BTC-26JUN20-22000-P,8657.26,16812820406,"[[0.11, 1.0], [0.0005, 1.0]]",0.0,0.11,1.0,2.22,0.1,"[[2.22, 0.1], [3.0, 0.1]]",437.88,,,,-2.95567,-0.89676,-91.84202,3e-05,10.60608
8985.15,BTC-26JUN20,1579545899612,open,1.48,0.0,1.41,1.5475,1.47125139,87.81,,0.0,BTC-26JUN20-22000-P,8656.41,16812820406,"[[0.11, 1.0], [0.0005, 1.0]]",0.0,0.11,1.0,2.22,0.1,"[[2.22, 0.1], [3.0, 0.1]]",437.52,,,,-2.95373,-0.89682,-91.84416,3e-05,10.59893
8974.28,BTC-26JUN20,1579572032662,open,1.48,0.0,1.4125,1.549,1.47322971,87.13,,0.0,BTC-26JUN20-22000-P,8637.88,16812820406,"[[0.11, 1.0], [0.0005, 1.0]]",0.0,0.11,1.0,2.22,0.1,"[[2.22, 0.1], [3.0, 0.1]]",435.9,,,,-2.8628,-0.90006,-91.75853,3e-05,10.333
8974.27,BTC-26JUN20,1579572102144,open,1.48,0.0,1.4125,1.549,1.4732209,87.12,,0.0,BTC-26JUN20-22000-P,8635.95,16812820406,"[[0.11, 1.0], [0.0005, 1.0]]",0.0,0.11,1.0,2.22,0.1,"[[2.22, 0.1], [3.0, 0.1]]",435.9,,,,-2.86169,-0.9001,-91.75914,3e-05,10.33013
8973.15,BTC-26JUN20,1579572171628,open,1.48,0.0,1.4125,1.549,1.47352172,87.13,,0.0,BTC-26JUN20-22000-P,8636.34,16812820406,"[[0.11, 1.0], [0.0005, 1.0]]",0.0,0.11,1.0,2.22,0.1,"[[2.22, 0.1], [3.0, 0.1]]",435.69,,,,-2.86099,-0.90012,-91.75981,3e-05,10.32705
8972.57,BTC-26JUN20,1579572243128,open,1.48,0.0,1.4125,1.549,1.47367483,87.13,,0.0,BTC-26JUN20-22000-P,8635.96,16812820406,"[[0.11, 1.0], [0.0005, 1.0]]",0.0,0.11,1.0,2.22,0.1,"[[2.22, 0.1], [3.0, 0.1]]",435.59,,,,-2.86038,-0.90014,-91.7602,3e-05,10.32479
