underlying_price,underlying_index,timestamp,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,instrument_name,index_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv,24h_high,24h_low,24h_vol,theta,delta,rho,gamma,vega
8815.01,BTC-27MAR20,1579545022915,open,0.0,310.6,0.0005,0.0155,0.0037702,99.83,0.005,0.0,BTC-27MAR20-22000-C,8651.92,16818686528,"[[0.003, 74.2], [0.0025, 25.0], [0.0005, 1.5]]",96.68,0.003,74.2,0.0045,34.7,"[[0.0045, 34.7], [0.005, 42.0], [0.0155, 3.2]]",102.44,,,,-1.74116,0.02666,0.36802,2e-05,2.32195
8817.83,BTC-27MAR20,1579545099447,open,0.0,310.6,0.0005,0.0155,0.00377636,99.82,0.005,0.0,BTC-27MAR20-22000-C,8655.59,16818686528,"[[0.003, 74.2], [0.0025, 25.0], [0.0005, 1.5]]",96.65,0.003,74.2,0.0045,34.7,"[[0.0045, 34.7], [0.005, 42.0], [0.0155, 3.2]]",102.41,,,,-1.74385,0.0267,0.36867,2e-05,2.32557
8814.15,BTC-27MAR20,1579545400550,open,0.0,310.6,0.0005,0.0155,0.00376135,99.8,0.005,0.0,BTC-27MAR20-22000-C,8655.46,16818686528,"[[0.003, 74.2], [0.0025, 25.0], [0.0005, 1.5]]",96.69,0.003,74.2,0.0045,34.7,"[[0.0045, 34.7], [0.005, 42.0], [0.0155, 3.2]]",102.45,,,,-1.73791,0.02661,0.36728,2e-05,2.31795
8817.08,BTC-27MAR20,1579545479606,open,0.0,310.6,0.0005,0.0155,0.00376916,99.81,0.005,0.0,BTC-27MAR20-22000-C,8657.41,16818686528,"[[0.003, 74.2], [0.0025, 25.0], [0.0005, 1.5]]",96.66,0.003,74.2,0.0045,34.7,"[[0.0045, 34.7], [0.005, 42.0], [0.0155, 3.2]]",102.42,,,,-1.74121,0.02666,0.36807,2e-05,2.32228
8817.22,BTC-27MAR20,1579545582837,open,0.0,310.6,0.0005,0.0155,0.00376754,99.8,0.005,0.0,BTC-27MAR20-22000-C,8656.81,16818686528,"[[0.003, 74.2], [0.0025, 25.0], [0.0005, 1.5]]",96.66,0.003,74.2,0.0045,34.7,"[[0.0045, 34.7], [0.005, 42.0], [0.0155, 3.2]]",102.42,,,,-1.74066,0.02665,0.36795,2e-05,2.32167
8818.04,BTC-27MAR20,1579545668606,open,0.0,310.6,0.0005,0.0155,0.00376902,99.8,0.005,0.0,BTC-27MAR20-22000-C,8657.86,16818686528,"[[0.003, 74.2], [0.0025, 25.0], [0.0005, 1.5]]",96.66,0.003,74.2,0.0045,34.7,"[[0.0045, 34.7], [0.005, 42.0], [0.0155, 3.2]]",102.41,,,,-1.74134,0.02666,0.36812,2e-05,2.32259
8817.93,BTC-27MAR20,1579545744999,open,0.0,310.6,0.0005,0.0155,0.00376822,99.8,0.005,0.0,BTC-27MAR20-22000-C,8658.48,16818686528,"[[0.003, 74.2], [0.0025, 25.0], [0.0005, 1.5]]",96.66,0.003,74.2,0.0045,34.7,"[[0.0045, 34.7], [0.005, 42.0], [0.0155, 3.2]]",102.42,,,,-1.74105,0.02666,0.36805,2e-05,2.32221
8815.81,BTC-27MAR20,1579545818606,open,0.0,310.6,0.0005,0.0155,0.00376165,99.79,0.005,0.0,BTC-27MAR20-22000-C,8657.26,16818686528,"[[0.003, 74.2], [0.0025, 25.0], [0.0005, 1.5]]",96.68,0.003,74.2,0.0045,34.7,"[[0.0045, 34.7], [0.005, 42.0], [0.0155, 3.2]]",102.44,,,,-1.73838,0.02662,0.3674,2e-05,2.31867
8815.19,BTC-27MAR20,1579545894042,open,0.0,310.6,0.0005,0.0155,0.00375937,99.79,0.005,0.0,BTC-27MAR20-22000-C,8656.25,16818779559,"[[0.003, 74.2], [0.0025, 25.0], [0.0005, 1.5]]",96.69,0.003,74.2,0.0045,34.7,"[[0.0045, 34.7], [0.005, 42.0], [0.0155, 3.2]]",102.45,,,,-1.73747,0.0266,0.36719,2e-05,2.31748
8797.79,BTC-27MAR20,1579572031653,open,0.0,322.4,0.0005,0.0135,0.00310571,97.54,0.003,0.0,BTC-27MAR20-22000-C,8637.85,16821999357,"[[0.0025, 102.0], [0.002, 10.0], [0.0005, 1.5]]",94.72,0.0025,102.0,0.004,67.0,"[[0.004, 67.0], [0.0045, 35.0], [0.005, 10.0], [0.015, 3.2]]",101.09,0.003,0.003,49.9,-1.4961,0.02287,0.31554,1e-05,2.03234
8796.78,BTC-27MAR20,1579572102144,open,0.0,322.4,0.0005,0.0135,0.00310884,97.56,0.003,0.0,BTC-27MAR20-22000-C,8635.95,16821999357,"[[0.0025, 102.0], [0.002, 10.0], [0.0005, 1.5]]",94.73,0.0025,102.0,0.004,67.0,"[[0.004, 67.0], [0.0045, 35.0], [0.005, 10.0], [0.015, 3.2]]",101.1,0.003,0.003,49.9,-1.49721,0.02288,0.31571,1e-05,2.03333
8797.11,BTC-27MAR20,1579572171628,open,0.0,322.4,0.0005,0.0135,0.00311475,97.59,0.003,0.0,BTC-27MAR20-22000-C,8636.34,16821999357,"[[0.0025, 102.0], [0.002, 10.0], [0.0005, 1.5]]",94.73,0.0025,102.0,0.004,67.0,"[[0.004, 67.0], [0.0045, 35.0], [0.005, 10.0], [0.015, 3.2]]",101.1,0.003,0.003,49.9,-1.49955,0.02292,0.31618,1e-05,2.03601
8797.04,BTC-27MAR20,1579572240108,open,0.0,322.4,0.0005,0.0135,0.0031195,97.61,0.003,0.0,BTC-27MAR20-22000-C,8636.01,16821999357,"[[0.0025, 102.0], [0.002, 10.0], [0.0005, 1.5]]",94.73,0.0025,102.0,0.004,67.0,"[[0.004, 67.0], [0.0045, 35.0], [0.005, 10.0], [0.015, 3.2]]",101.1,0.003,0.003,49.9,-1.50139,0.02294,0.31654,1e-05,2.03803
8797.08,BTC-27MAR20,1579572314605,open,0.0,322.4,0.0005,0.0135,0.00312463,97.63,0.003,0.0,BTC-27MAR20-22000-C,8637.02,16821999357,"[[0.0025, 102.0], [0.002, 10.0], [0.0005, 1.5]]",94.73,0.0025,102.0,0.004,67.0,"[[0.004, 67.0], [0.0045, 35.0], [0.005, 10.0], [0.015, 3.2]]",101.1,0.003,0.003,49.9,-1.50339,0.02297,0.31693,1e-05,2.04026
8797.42,BTC-27MAR20,1579572383606,open,0.0,322.4,0.0005,0.0135,0.00312903,97.65,0.003,0.0,BTC-27MAR20-22000-C,8636.69,16821999357,"[[0.0025, 102.0], [0.002, 10.0], [0.0005, 1.5]]",94.73,0.0025,102.0,0.004,67.0,"[[0.004, 67.0], [0.0045, 35.0], [0.005, 10.0], [0.015, 3.2]]",101.1,0.003,0.003,49.9,-1.50515,0.023,0.31729,1e-05,2.04229
8798.11,BTC-27MAR20,1579572455624,open,0.0,322.4,0.0005,0.0135,0.00313593,97.67,0.003,0.0,BTC-27MAR20-22000-C,8638.18,16821999357,"[[0.0025, 102.0], [0.002, 10.0], [0.0005, 1.5]]",94.72,0.0025,102.0,0.004,67.0,"[[0.004, 67.0], [0.0045, 35.0], [0.005, 10.0], [0.015, 3.2]]",101.09,0.003,0.003,49.9,-1.50792,0.02304,0.31785,1e-05,2.0455
8801.87,BTC-27MAR20,1579572526115,open,0.0,322.4,0.0005,0.0135,0.0031485,97.69,0.003,0.0,BTC-27MAR20-22000-C,8641.73,16821999357,"[[0.0025, 102.0], [0.002, 10.0], [0.0005, 1.5]]",94.69,0.0025,102.0,0.004,67.0,"[[0.004, 67.0], [0.0045, 35.0], [0.005, 10.0], [0.015, 3.2]]",101.05,0.003,0.003,49.9,-1.51324,0.02312,0.31906,1e-05,2.05232
8803.64,BTC-27MAR20,1579572599606,open,0.0,322.4,0.0005,0.0135,0.00315784,97.71,0.003,0.0,BTC-27MAR20-22000-C,8641.99,16821999357,"[[0.0025, 102.0], [0.002, 10.0], [0.0005, 1.5]]",94.67,0.0025,102.0,0.004,67.0,"[[0.004, 67.0], [0.0045, 35.0], [0.005, 10.0], [0.015, 3.2]]",101.04,0.003,0.003,49.9,-1.51706,0.02318,0.31988,1e-05,2.05699
8802.35,BTC-27MAR20,1579572668102,open,0.0,322.4,0.0005,0.0135,0.00315674,97.72,0.003,0.0,BTC-27MAR20-22000-C,8642.29,16821999357,"[[0.0025, 102.0], [0.002, 10.0], [0.0005, 1.5]]",94.69,0.0025,102.0,0.004,67.0,"[[0.004, 67.0], [0.0045, 35.0], [0.005, 10.0], [0.015, 3.2]]",101.05,0.003,0.003,49.9,-1.5165,0.02317,0.31971,1e-05,2.05604
