underlying_price,underlying_index,timestamp,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,instrument_name,index_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv,24h_high,24h_low,24h_vol,theta,delta,rho,gamma,vega
8678.18,SYN.BTC-31JAN20,1579545012848,open,0.0,723.6,0.0005,0.012,0.00201189,76.74,0.003,0.0,BTC-31JAN20-11000-C,8652.35,16818686419,"[[0.0015, 97.1], [0.0005, 1.5]]",72.94,0.0015,97.1,0.0025,30.1,"[[0.0025, 30.1], [0.003, 52.0], [0.0035, 20.0], [0.005, 0.1], [0.008, 2.0], [0.009, 0.1], [0.015, 2.0], [0.016, 3.4], [0.0785, 1.0]]",79.86,0.0035,0.003,0.3,-4.62117,0.04,0.09539,8e-05,1.27204
8683.86,SYN.BTC-31JAN20,1579545090392,open,0.0,723.6,0.0005,0.012,0.00203632,76.74,0.003,0.0,BTC-31JAN20-11000-C,8658.21,16818686419,"[[0.0015, 97.1], [0.0005, 1.5]]",72.78,0.0015,97.1,0.0025,30.1,"[[0.0025, 30.1], [0.003, 52.0], [0.0035, 20.0], [0.005, 0.1], [0.008, 2.0], [0.009, 0.1], [0.015, 2.0], [0.016, 3.4], [0.0785, 1.0]]",79.69,0.0035,0.003,0.3,-4.66421,0.04042,0.09645,8e-05,1.28383
8681.97,SYN.BTC-31JAN20,1579545173596,open,0.0,723.6,0.0005,0.012,0.00202453,76.72,0.003,0.0,BTC-31JAN20-11000-C,8656.28,16818686419,"[[0.0015, 97.1], [0.0005, 1.5]]",72.84,0.0015,97.1,0.0025,30.1,"[[0.0025, 30.1], [0.003, 52.0], [0.0035, 20.0], [0.005, 0.1], [0.008, 2.0], [0.009, 0.1], [0.015, 2.0], [0.016, 3.4], [0.0785, 1.0]]",79.76,0.0035,0.003,0.3,-4.64418,0.04023,0.09596,8e-05,1.27845
8678.98,SYN.BTC-31JAN20,1579545392596,open,0.0,723.6,0.0005,0.012,0.0020092,76.72,0.003,0.0,BTC-31JAN20-11000-C,8653.66,16818731825,"[[0.0015, 67.1], [0.001, 30.0], [0.0005, 1.5]]",72.94,0.0015,67.1,0.0025,30.1,"[[0.0025, 30.1], [0.003, 63.0], [0.005, 0.1], [0.008, 2.0], [0.009, 0.1], [0.015, 2.0], [0.016, 3.4], [0.0785, 1.0]]",79.86,0.0035,0.003,0.3,-4.61851,0.03997,0.09529,8e-05,1.27114
8682.8,SYN.BTC-31JAN20,1579545470596,open,0.0,723.6,0.0005,0.012,0.00202423,76.71,0.003,0.0,BTC-31JAN20-11000-C,8657.46,16818736381,"[[0.0015, 62.1], [0.001, 30.0], [0.0005, 1.5]]",72.83,0.0015,62.1,0.0025,30.1,"[[0.0025, 30.1], [0.003, 63.0], [0.005, 0.1], [0.008, 2.0], [0.009, 0.1], [0.015, 2.0], [0.016, 3.4], [0.0785, 1.0]]",79.74,0.0035,0.003,0.3,-4.64515,0.04023,0.09596,8e-05,1.27854
8682.91,SYN.BTC-31JAN20,1579545557596,open,0.0,723.6,0.0005,0.012,0.00202325,76.7,0.003,0.0,BTC-31JAN20-11000-C,8657.36,16818747369,"[[0.0015, 92.1], [0.0005, 1.5]]",72.83,0.0015,92.1,0.0025,30.1,"[[0.0025, 30.1], [0.003, 52.0], [0.0035, 20.0], [0.005, 0.1], [0.008, 2.0], [0.009, 0.1], [0.015, 2.0], [0.016, 3.4], [0.0785, 1.0]]",79.74,0.0035,0.003,0.3,-4.64371,0.04022,0.09592,8e-05,1.27818
8683.26,SYN.BTC-31JAN20,1579545661387,open,0.0,723.6,0.0005,0.012,0.00202281,76.69,0.003,0.0,BTC-31JAN20-11000-C,8657.83,16818759197,"[[0.0015, 92.1], [0.0005, 1.5]]",72.82,0.0015,92.1,0.0025,30.1,"[[0.0025, 30.1], [0.003, 52.0], [0.0035, 20.0], [0.005, 0.1], [0.008, 2.0], [0.009, 0.1], [0.015, 2.0], [0.016, 3.4], [0.0785, 1.0]]",79.74,0.0035,0.003,0.3,-4.64353,0.04022,0.09591,8e-05,1.27811
8683.69,SYN.BTC-31JAN20,1579545737952,open,0.0,723.6,0.0005,0.012,0.0020233,76.69,0.003,0.0,BTC-31JAN20-11000-C,8658.38,16818759197,"[[0.0015, 92.1], [0.0005, 1.5]]",72.81,0.0015,92.1,0.0025,30.1,"[[0.0025, 30.1], [0.003, 52.0], [0.0035, 20.0], [0.005, 0.1], [0.008, 2.0], [0.009, 0.1], [0.015, 2.0], [0.016, 3.4], [0.0785, 1.0]]",79.73,0.0035,0.003,0.3,-4.64468,0.04023,0.09594,8e-05,1.27845
8682.23,SYN.BTC-31JAN20,1579545812596,open,0.0,723.6,0.0005,0.012,0.00201514,76.68,0.003,0.0,BTC-31JAN20-11000-C,8657.08,16818759197,"[[0.0015, 92.1], [0.0005, 1.5]]",72.86,0.0015,92.1,0.0025,30.1,"[[0.0025, 30.1], [0.003, 52.0], [0.0035, 20.0], [0.005, 0.1], [0.008, 2.0], [0.009, 0.1], [0.015, 2.0], [0.016, 3.4], [0.0785, 1.0]]",79.78,0.0035,0.003,0.3,-4.63098,0.0401,0.09559,8e-05,1.27463
8681.76,SYN.BTC-31JAN20,1579545886992,open,0.0,723.6,0.0005,0.012,0.00201245,76.68,0.003,0.0,BTC-31JAN20-11000-C,8656.46,16818779466,"[[0.0015, 62.1], [0.001, 30.0], [0.0005, 1.5]]",72.88,0.0015,62.1,0.0025,30.1,"[[0.0025, 30.1], [0.003, 62.9], [0.005, 0.1], [0.008, 2.0], [0.009, 0.1], [0.015, 2.0], [0.016, 3.4], [0.0785, 1.0]]",79.79,0.0035,0.003,0.3,-4.62656,0.04005,0.09547,8e-05,1.27336
