underlying_price,underlying_index,timestamp,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,instrument_name,index_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv,24h_high,24h_low,24h_vol,theta,delta,rho,gamma,vega
8815.14,BTC-27MAR20,1579545015866,open,0.13,45.0,0.097,0.164,0.12802495,65.5,0.124,0.0,BTC-27MAR20-8500-C,8652.51,16818699971,"[[0.123, 17.0], [0.1225, 14.4], [0.122, 12.0], [0.109, 0.5]]",62.44,0.123,17.0,0.1275,16.2,"[[0.1275, 16.2], [0.1295, 26.4], [0.144, 10.0]]",65.18,0.1245,0.124,1.2,-7.12421,0.60642,7.6905,0.00016,14.48028
8819.29,BTC-27MAR20,1579545093404,open,0.13,45.0,0.0975,0.1645,0.12827939,65.52,0.124,0.0,BTC-27MAR20-8500-C,8657.02,16818707963,"[[0.123, 17.0], [0.1225, 14.4], [0.122, 12.0], [0.109, 0.5]]",62.3,0.123,17.0,0.1275,15.8,"[[0.1275, 15.8], [0.1295, 26.4], [0.1445, 10.0]]",65.04,0.1245,0.124,1.2,-7.12639,0.60707,7.70029,0.00016,14.48034
8813.57,BTC-27MAR20,1579545395188,open,0.13,45.0,0.097,0.164,0.12791399,65.48,0.124,0.0,BTC-27MAR20-8500-C,8653.66,16818732304,"[[0.1225, 12.0], [0.122, 14.4], [0.1215, 12.0], [0.109, 0.5], [0.1, 5.0]]",62.19,0.1225,12.0,0.127,14.9,"[[0.127, 14.9], [0.129, 14.4], [0.1295, 12.0], [0.144, 10.0]]",64.93,0.1245,0.124,1.2,-7.12298,0.60618,7.6864,0.00016,14.47967
8817.08,BTC-27MAR20,1579545473187,open,0.13,45.0,0.097,0.164,0.12810085,65.48,0.124,0.0,BTC-27MAR20-8500-C,8657.37,16818741278,"[[0.1225, 17.0], [0.122, 26.4], [0.109, 0.5]]",62.07,0.1225,17.0,0.1275,16.3,"[[0.1275, 16.3], [0.129, 14.4], [0.1295, 12.0], [0.144, 10.0]]",65.12,0.1245,0.124,1.2,-7.12292,0.60672,7.69518,0.00016,14.47979
8817.54,BTC-27MAR20,1579545567731,open,0.13,45.0,0.097,0.164,0.12810097,65.47,0.124,0.0,BTC-27MAR20-8500-C,8656.47,16818751883,"[[0.1225, 17.0], [0.122, 14.4], [0.1215, 12.0], [0.109, 0.5]]",62.06,0.1225,17.0,0.127,14.5,"[[0.127, 14.5], [0.129, 14.4], [0.1295, 12.0], [0.144, 10.0]]",64.8,0.1245,0.124,1.2,-7.12135,0.60679,7.69664,0.00016,14.47975
8818.02,BTC-27MAR20,1579545662188,open,0.13,45.0,0.097,0.164,0.12811916,65.46,0.124,0.0,BTC-27MAR20-8500-C,8657.83,16818759201,"[[0.1225, 31.4], [0.122, 12.0], [0.109, 0.5]]",62.04,0.1225,31.4,0.1275,15.9,"[[0.1275, 15.9], [0.129, 14.4], [0.1295, 12.0], [0.1445, 10.0]]",65.09,0.1245,0.124,1.2,-7.12099,0.60687,7.69781,0.00016,14.47962
8818.07,BTC-27MAR20,1579545740188,open,0.13,45.0,0.097,0.164,0.12811179,65.46,0.124,0.0,BTC-27MAR20-8500-C,8658.38,16818759201,"[[0.1225, 31.4], [0.122, 12.0], [0.109, 0.5]]",62.04,0.1225,31.4,0.1275,15.9,"[[0.1275, 15.9], [0.129, 14.4], [0.1295, 12.0], [0.1445, 10.0]]",65.08,0.1245,0.124,1.2,-7.12041,0.60688,7.69801,0.00016,14.47955
8815.67,BTC-27MAR20,1579545815187,open,0.13,45.0,0.097,0.164,0.12797424,65.45,0.124,0.0,BTC-27MAR20-8500-C,8657.08,16818772408,"[[0.1225, 31.4], [0.122, 12.0], [0.109, 0.5]]",62.12,0.1225,31.4,0.1275,15.8,"[[0.1275, 15.8], [0.129, 14.4], [0.1295, 12.0], [0.144, 10.0]]",65.16,0.1245,0.124,1.2,-7.12001,0.6065,7.69194,0.00016,14.47928
8815.22,BTC-27MAR20,1579545890188,open,0.13,45.0,0.097,0.164,0.12793757,65.45,0.124,0.0,BTC-27MAR20-8500-C,8656.38,16818779507,"[[0.1225, 17.0], [0.122, 14.4], [0.1215, 12.0], [0.109, 0.5]]",62.14,0.1225,17.0,0.127,12.0,"[[0.127, 12.0], [0.129, 14.4], [0.1295, 12.0], [0.144, 10.0], [0.151, 5.0]]",64.88,0.1245,0.124,1.2,-7.11927,0.60643,7.69092,0.00016,14.47918
8797.59,BTC-27MAR20,1579572029188,open,0.13,45.0,0.0935,0.159,0.12390495,63.72,0.124,0.0,BTC-27MAR20-8500-C,8637.59,16822033127,"[[0.1195, 15.1], [0.1185, 36.4]]",61.04,0.1195,15.1,0.124,14.0,"[[0.124, 14.0], [0.1245, 12.0], [0.1255, 10.0], [0.126, 14.4], [0.1395, 10.0]]",63.78,0.1245,0.124,1.2,-6.94748,0.60353,7.65877,0.00016,14.44635
