underlying_price,underlying_index,timestamp,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,instrument_name,index_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv,24h_high,24h_low,24h_vol,theta,delta,rho,gamma,vega
8660.48,SYN.BTC-24JAN20,1579545027049,open,0.0,189.0,0.0005,0.0105,0.00049745,89.3,0.0005,0.0,BTC-24JAN20-10500-C,8651.75,16818686615,[],0.0,0.0,0.0,0.001,32.6,"[[0.001, 32.6], [0.0015, 37.2], [0.002, 0.1], [0.0025, 0.1], [0.003, 0.1], [0.0145, 3.4]]",99.13,0.0005,0.0005,46.1,-4.30818,0.01621,0.01328,5e-05,0.34637
8663.87,SYN.BTC-24JAN20,1579545105490,open,0.0,189.0,0.0005,0.0105,0.00050284,89.29,0.0005,0.0,BTC-24JAN20-10500-C,8655.14,16818686615,[],0.0,0.0,0.0,0.001,32.6,"[[0.001, 32.6], [0.0015, 37.2], [0.002, 0.1], [0.0025, 0.1], [0.003, 0.1], [0.0145, 3.4]]",98.99,0.0005,0.0005,46.1,-4.35653,0.01637,0.01341,5e-05,0.34937
8664.64,SYN.BTC-24JAN20,1579545405584,open,0.0,189.0,0.0005,0.0105,0.00050212,89.28,0.0005,0.0,BTC-24JAN20-10500-C,8656.05,16818728815,[],0.0,0.0,0.0,0.001,52.6,"[[0.001, 52.6], [0.0015, 17.2], [0.002, 0.1], [0.0025, 0.1], [0.003, 0.1], [0.0145, 3.4]]",99.0,0.0005,0.0005,46.1,-4.35066,0.01636,0.01339,5e-05,0.349
8665.87,SYN.BTC-24JAN20,1579545487161,open,0.0,189.0,0.0005,0.0105,0.00050376,89.28,0.0005,0.0,BTC-24JAN20-10500-C,8657.4,16818728815,[],0.0,0.0,0.0,0.001,52.6,"[[0.001, 52.6], [0.0015, 17.2], [0.002, 0.1], [0.0025, 0.1], [0.003, 0.1], [0.0145, 3.4]]",98.95,0.0005,0.0005,46.1,-4.36554,0.01641,0.01343,5e-05,0.34994
8665.78,SYN.BTC-24JAN20,1579545594048,open,0.0,189.0,0.0005,0.0105,0.0005025,89.27,0.0005,0.0,BTC-24JAN20-10500-C,8657.21,16818728815,[],0.0,0.0,0.0,0.001,52.6,"[[0.001, 52.6], [0.0015, 17.2], [0.002, 0.1], [0.0025, 0.1], [0.003, 0.1], [0.0145, 3.4]]",98.97,0.0005,0.0005,46.1,-4.35455,0.01638,0.0134,5e-05,0.34928
8666.5,SYN.BTC-24JAN20,1579545675048,open,0.0,189.0,0.0005,0.0105,0.00050343,89.27,0.0005,0.0,BTC-24JAN20-10500-C,8657.95,16818728815,[],0.0,0.0,0.0,0.001,52.6,"[[0.001, 52.6], [0.0015, 17.2], [0.002, 0.1], [0.0025, 0.1], [0.003, 0.1], [0.0145, 3.4]]",98.95,0.0005,0.0005,46.1,-4.36295,0.01641,0.01342,5e-05,0.34979
8666.35,SYN.BTC-24JAN20,1579545750048,open,0.0,189.0,0.0005,0.0105,0.00050391,89.3,0.0005,0.0,BTC-24JAN20-10500-C,8657.61,16818728815,[],0.0,0.0,0.0,0.001,52.6,"[[0.001, 52.6], [0.0015, 17.2], [0.002, 0.1], [0.0025, 0.1], [0.003, 0.1], [0.0145, 3.4]]",98.96,0.0005,0.0005,46.1,-4.36706,0.01642,0.01343,5e-05,0.34995
8665.72,SYN.BTC-24JAN20,1579545822540,open,0.0,189.0,0.0005,0.0105,0.00050089,89.27,0.0005,0.0,BTC-24JAN20-10500-C,8657.05,16818728815,[],0.0,0.0,0.0,0.001,52.6,"[[0.001, 52.6], [0.0015, 17.2], [0.002, 0.1], [0.0025, 0.1], [0.003, 0.1], [0.0145, 3.4]]",99.01,0.0005,0.0005,46.1,-4.34054,0.01634,0.01336,5e-05,0.34838
8664.78,SYN.BTC-24JAN20,1579545903048,open,0.0,189.0,0.0005,0.0105,0.00049904,89.27,0.0005,0.0,BTC-24JAN20-10500-C,8656.29,16818779622,[],0.0,0.0,0.0,0.001,52.6,"[[0.001, 52.6], [0.0015, 17.2], [0.002, 0.1], [0.0025, 0.1], [0.003, 0.1], [0.0145, 3.4]]",99.07,0.0005,0.0005,46.1,-4.32404,0.01628,0.01331,5e-05,0.34733
